RY_External_ID__c,FirstName,LastName,Company,Email,RY_Sample_Status__c
RY-LEAD-00145111,Nokuthula,Reddy,[Individual Applicant],nokuthula.reddy28@gmail.com,Qualified
RY-LEAD-00337459,Tshepo,Moodley,[Individual Applicant],tshepo.moodley74@mweb.co.za,Qualified
RY-LEAD-01476553,Andile,Jansen,[Individual Applicant],andilejansen347@gmail.com,Nurture
RY-LEAD-01302901,Tariq,Petersen,[Individual Applicant],tariq.petersen76@outlook.com,Converted
RY-LEAD-01451391,Refilwe,Mthembu,[Individual Applicant],,Working - Contacted
RY-LEAD-01169629,David,Van der Merwe,[Individual Applicant],,Qualified
RY-LEAD-01282620,Shireen,Abrahams,[Individual Applicant],shireen.abrahams89@gmail.com,Open - Not Contacted
RY-LEAD-01171604,Zaid,Van Wyk,[Individual Applicant],zaid.vanwyk90@gmail.com,Nurture
RY-LEAD-01444141,Elmarie,Dlamini,[Individual Applicant],elmarie.dlamini345@icloud.com,Converted
RY-LEAD-01253266,Yusuf,Moodley,[Individual Applicant],yusuf_moodley918@outlook.co.za,Qualified
RY-LEAD-01097876,Sipho,Pillay,[Individual Applicant],sipho.pillay346@outlook.com,Working - Contacted
RY-LEAD-01347232,Fatima,Moodley,[Individual Applicant],fatimamoodley59@gmail.com,Working - Contacted
RY-LEAD-01062792,Ayanda,adams,[Individual Applicant],ayanda_adams44@outlook.com,Open - Not Contacted
RY-LEAD-01213440,Tariq,Sithole,[Individual Applicant],tariq.sithole671@gmail.com,Working - Contacted
RY-LEAD-01089587,thabo,Mahlangu,[Individual Applicant],thabo.mahlangu466@gmail.com,Qualified
RY-LEAD-00462105,ryan,Jansen,[Individual Applicant],ryan.jansen37@yahoo.com,Qualified
RY-LEAD-00198899,Elmarie,Damons,[Individual Applicant],elmariedamons4@yahoo.com,Working - Contacted
RY-LEAD-00570380,Emma,Smith,[Individual Applicant],emmasmith39@yahoo.com,Working - Contacted
RY-LEAD-00119551,Shireen,Jacobs,[Individual Applicant],shireenjacobs3@gmail.com,Open - Not Contacted
RY-LEAD-00658824,Nkosinathi,Pillay,[Individual Applicant],nkosinathipillay60@mweb.co.za,Unqualified
RY-LEAD-00243072,Sipho,Adams,[Individual Applicant],siphoadams850@yahoo.com,Qualified
RY-LEAD-00273770,Lerato,Mabaso,[Individual Applicant],lerato.mabaso712@mweb.co.za,Qualified
RY-LEAD-00052628,Sibusiso,Venter,[Individual Applicant],sibusiso.venter6@live.co.za,Working - Contacted
RY-LEAD-00232734,Willem,Sibiya,[Individual Applicant],willem.sibiya37@mweb.co.za,Unqualified
RY-LEAD-00215805,Tariq,Hendricks,[Individual Applicant],tariq_hendricks4@outlook.com,Working - Contacted
RY-LEAD-00173629,Roche,Nkosi,[Individual Applicant],roche_nkosi3@gmail.com,Converted
RY-LEAD-00211067,Jessica,Van Wyk,[Individual Applicant],jessica.vanwyk686@gmail.com,Nurture
RY-LEAD-00122393,Bongani,Khumalo,[Individual Applicant],bonganikhumalo26@gmail.com,Nurture
RY-LEAD-01459399,Lerato,Naidoo,[Individual Applicant],lerato.naidoo554@vodamail.co.za,Working - Contacted
RY-LEAD-01468691,Nkosinathi,Daniels,[Individual Applicant],nkosinathidaniels88@gmail.com,Converted
RY-LEAD-01453158,Daniel,Nel,[Individual Applicant],daniel.nel311@gmail.com,Working - Contacted
RY-LEAD-01103539,Thabo,Botha,[Individual Applicant],thabo.botha717@outlook.com,Converted
RY-LEAD-01458737,Yusuf,Ndlovu,[Individual Applicant],yusufndlovu976@gmail.com,Open - Not Contacted
RY-LEAD-01229238,Chantelle,Damons,[Individual Applicant],chantelledamons363@gmail.com,Nurture
RY-LEAD-01428316,Nadia,Sithole,[Individual Applicant],nadia.sithole191@mweb.co.za,Working - Contacted
RY-LEAD-01083390,James,nkosi,[Individual Applicant],james.nkosi253@gmail.com,Working - Contacted
RY-LEAD-01419305,Mandla,Radebe,[Individual Applicant],mandla.radebe8161@gmail.com,Open - Not Contacted
RY-LEAD-01121334,Nomsa,Hendricks,[Individual Applicant],nomsa.hendricks303@gmail.com,Qualified
RY-LEAD-01279833,Johan,botha,[Individual Applicant],johan.botha256@yahoo.com,Qualified
RY-LEAD-01201982,Chantelle,Ndlovu,[Individual Applicant],chantelle.ndlovu237@gmail.com,Open - Not Contacted
RY-LEAD-01477833,Katlego,Smith,[Individual Applicant],katlegosmith122@gmail.com,Working - Contacted
RY-LEAD-01330169,JESSICA,Botha,[Individual Applicant],jessica.botha205@telkomsa.net,Open - Not Contacted
RY-LEAD-01190561,Willem,zulu  ,[Individual Applicant],willem.zulu197@gmail.com,Open - Not Contacted
RY-LEAD-01206873,Michael,Sithole,[Individual Applicant],michael.sithole2@gmail.com,Working - Contacted
RY-LEAD-01143656,Palesa,Van der Merwe,[Individual Applicant],palesavandermerwe127@gmail.com,Qualified
RY-LEAD-01207233,Roche,Ndlovu,[Individual Applicant],rochendlovu55@gmail.com,Nurture
RY-LEAD-01334416,Zanele,Mthembu,[Individual Applicant],zanele.mthembu470@gmail.com,Qualified
RY-LEAD-01341434,Ayanda,Pillay,[Individual Applicant],ayanda.pillay792@mweb.co.za,Nurture
RY-LEAD-01213575,Priya,Smith,[Individual Applicant],priya_smith13@gmail.com,Converted
RY-LEAD-01351978,Marlize,Sibiya,[Individual Applicant],marlize.sibiya123@live.co.za,Open - Not Contacted
RY-LEAD-01204698,Tarryn,Isaacs,[Individual Applicant],tarryn_isaacs14@vodamail.co.za,Nurture
RY-LEAD-01142815,Naledi,Van der Merwe,[Individual Applicant],,Unqualified
RY-LEAD-01359544,Sipho,Govender,[Individual Applicant],sipho.govender416@outlook.com,Working - Contacted
RY-LEAD-01300652,Andile,Smith,[Individual Applicant],andile_smith36@gmail.com,Working - Contacted
RY-LEAD-00275828,Zanele,Daniels,[Individual Applicant],,Open - Not Contacted
RY-LEAD-00491630,Johan,MOKOENA,[Individual Applicant],johan.mokoena147@hotmail.com,Unqualified
RY-LEAD-00457196,Lindiwe,Govender,[Individual Applicant],lindiwe.govender104@gmail.com,Qualified
RY-LEAD-01091591,Palesa,Mabaso,[Individual Applicant],palesa.mabaso217@gmail.com,Open - Not Contacted
RY-LEAD-00560631,Johan,Naidoo,[Individual Applicant],johan.naidoo127@gmail.com,Working - Contacted
RY-LEAD-00604604,Nokuthula,Zulu,[Individual Applicant],nokuthula_zulu32@gmail.com,Working - Contacted
RY-LEAD-00220929,Nomsa,Daniels,[Individual Applicant],nomsa.daniels62@gmail.com,Nurture
RY-LEAD-01133847,Sipho,Ndlovu,[Individual Applicant],sipho.ndlovu570@yahoo.com,Nurture
RY-LEAD-00023445,Katlego,Radebe,[Individual Applicant],katlegoradebe1@yahoo.com,Converted
RY-LEAD-00377921,Nkosinathi,Isaacs,[Individual Applicant],nkosinathi.isaacs44@gmail.com,Qualified
RY-LEAD-00231458,Dewald,Sibiya,[Individual Applicant],dewaldsibiya5@live.co.za,Open - Not Contacted
RY-LEAD-01266137,Palesa  ,Mokoena,[Individual Applicant],palesamokoena746@hotmail.com,Qualified
RY-LEAD-00066758,Ayanda,Botha,[Individual Applicant],ayanda.botha189@hotmail.com,Nurture
RY-LEAD-00504722,Tarryn,Radebe,[Individual Applicant],tarryn.radebe442@yahoo.com,Open - Not Contacted
RY-LEAD-00135071,Bongani,Hendricks,[Individual Applicant],bongani.hendricks40@gmail.com,Unqualified
RY-LEAD-01322696,Nkosinathi,Ndlovu,[Individual Applicant],nkosinathindlovu447@webmail.co.za,Unqualified
RY-LEAD-00173607,Bongani,Jacobs,[Individual Applicant],,Working - Contacted
RY-LEAD-00391343,Pieter,Molefe,[Individual Applicant],pieter.molefe279@outlook.com,Unqualified
RY-LEAD-00125562,Andile,Zulu,[Individual Applicant],andile.zulu32@gmail.com,Unqualified
RY-LEAD-01140715,Nadia,Nyathi,[Individual Applicant],nadia.nyathi139@gmail.com,Nurture
RY-LEAD-00224308,Tarryn,Govender,[Individual Applicant],tarryngovender7@outlook.com,Nurture
RY-LEAD-00284527,Nadia,Williams,[Individual Applicant],nadia_williams@outlook.com,Nurture
RY-LEAD-00014930,Willem,Radebe,[Individual Applicant],willem.radebe304@gmail.com,Qualified
RY-LEAD-01303668,Anmarie,Hendricks,[Individual Applicant],anmarie.hendricks277@hotmail.com,Converted
RY-LEAD-00288949,Sarah,Molefe,[Individual Applicant],sarah.molefe61@gmail.com,Open - Not Contacted
RY-LEAD-01459788,Thandiwe,Sithole,[Individual Applicant],thandiwesithole566@outlook.com,Nurture
RY-LEAD-00121422,Ashwin,DLAMINI,[Individual Applicant],ashwin_dlamini857@gmail.com,Unqualified
RY-LEAD-01300263,Bongani,Smith,[Individual Applicant],bongani.smith301@outlook.com,Working - Contacted
RY-LEAD-01455157,Marlize,Molefe,[Individual Applicant],,Qualified
RY-LEAD-01298261,Daniel,Jansen,[Individual Applicant],danieljansen827@yahoo.com,Working - Contacted
RY-LEAD-01454570,Mandla,Govender,[Individual Applicant],mandla.govender4321@gmail.com,Open - Not Contacted
RY-LEAD-01125453,Nomsa,Zulu,[Individual Applicant],nomsa.zulu118@gmail.com,Working - Contacted
RY-LEAD-01444820,Mpho,Jacobs,[Individual Applicant],mphojacobs369@gmail.com,Nurture
RY-LEAD-01153467,Sipho,Sithole,[Individual Applicant],sipho.sithole191@gmail.com,Working - Contacted
RY-LEAD-01477136,Dewald,Sibiya,[Individual Applicant],dewald.sibiya42@gmail.com,Unqualified
RY-LEAD-01195339,Kirsten,Mabaso,[Individual Applicant],kirstenmabaso58@gmail.com,Nurture
RY-LEAD-01437782,Ashwin,REDDY,[Individual Applicant],ashwin.reddy86@hotmail.com,Qualified
RY-LEAD-01230747,Lerato,Venter,[Individual Applicant],leratoventer333@gmail.com,Working - Contacted
RY-LEAD-01436010,Hendrik,Khumalo,[Individual Applicant],hendrik_khumalo42@gmail.com,Working - Contacted
RY-LEAD-01150955,Ashwin,Dlamini,[Individual Applicant],ashwindlamini83@hotmail.com,Nurture
RY-LEAD-01169366,Daniel,Govender,[Individual Applicant],daniel.govender171@gmail.com,Converted
RY-LEAD-01171434,Michael,Steyn,[Individual Applicant],michaelsteyn501@gmail.com,Working - Contacted
RY-LEAD-01425642,Thabo,Mokoena,[Individual Applicant],thabo.mokoena784@gmail.com,Nurture
RY-LEAD-01125445,Sipho,Ndlovu,[Individual Applicant],siphondlovu236@icloud.com,Converted
RY-LEAD-01408698,Thabo,Sithole,[Individual Applicant],thabo.sithole649@gmail.com,Nurture
RY-LEAD-01402283,Ashwin,Fourie,[Individual Applicant],ashwin.fourie84@gmail.com,Working - Contacted
RY-LEAD-01406618,Shireen,Khumalo,[Individual Applicant],shireenkhumalo76@outlook.com,Open - Not Contacted
RY-LEAD-01277553,James,Van der Merwe,[Individual Applicant],james.vandermerwe206@yahoo.com,Open - Not Contacted
RY-LEAD-01277585,Hendrik,Mthembu,[Individual Applicant],hendrik.mthembu188@telkomsa.net,Working - Contacted
RY-LEAD-01104909,Thabo,Abrahams,[Individual Applicant],thabo_abrahams52@gmail.com,Qualified
RY-LEAD-00038535,Nomsa,Khumalo,[Individual Applicant],nomsa.khumalo461@gmail.com,Converted
RY-LEAD-01245597,Willem,Maseko,[Individual Applicant],willem.maseko161@outlook.com,Working - Contacted
RY-LEAD-01497406,Ayanda,Dlamini,[Individual Applicant],ayandadlamini345@gmail.com,Qualified
RY-LEAD-01189954,Kagiso,September,[Individual Applicant],kagiso.september162@outlook.com,Qualified
RY-LEAD-01269581,Zaid,GOVENDER  ,[Individual Applicant],zaid.govender100@gmail.com,Open - Not Contacted
RY-LEAD-01249773,Zodwa,Dlamini,[Individual Applicant],zodwa.dlamini674@icloud.com,Open - Not Contacted
RY-LEAD-01485998,Tariq,Khumalo,[Individual Applicant],tariq.khumalo157@vodamail.co.za,Nurture
RY-LEAD-01483189,Zanele,Naidoo,[Individual Applicant],zanele.naidoo474@gmail.com,Open - Not Contacted
RY-LEAD-01073954,Kagiso,Molefe,[Individual Applicant],,Nurture
RY-LEAD-01098404,Thabo,Jansen,[Individual Applicant],thabojansen104@gmail.com,Working - Contacted
RY-LEAD-01219773,Johan,Nel,[Individual Applicant],johan.nel3131@telkomsa.net,Nurture
RY-LEAD-01486911,Lerato,Adams,[Individual Applicant],lerato.adams517@gmail.com,Working - Contacted
RY-LEAD-01098654,Zodwa,Naidoo,[Individual Applicant],zodwanaidoo82@gmail.com,Qualified
RY-LEAD-01241816,Lwazi,Mthembu,[Individual Applicant],lwazi_mthembu488@gmail.com,Converted
RY-LEAD-01394852,Naledi,Ndlovu,[Individual Applicant],naledindlovu226@outlook.com,Working - Contacted
RY-LEAD-01222190,Mandla,Mahlangu,[Individual Applicant],mandla.mahlangu451@gmail.com,Open - Not Contacted
RY-LEAD-01098875,Zaid,Pillay,[Individual Applicant],zaid.pillay88@gmail.com,Working - Contacted
RY-LEAD-01179359,NADIA,Naidoo,[Individual Applicant],nadianaidoo54@outlook.com,Working - Contacted
RY-LEAD-01497586,ANDILE,Khumalo,[Individual Applicant],andile.khumalo394@gmail.com,Working - Contacted
RY-LEAD-01056029,Shireen,Maseko,[Individual Applicant],shireen.maseko88@icloud.com,Working - Contacted
RY-LEAD-01104239,Andile,Smith  ,[Individual Applicant],andilesmith840@live.co.za,Working - Contacted
RY-LEAD-01049237,Sipho,Petersen,[Individual Applicant],,Working - Contacted
RY-LEAD-01185978,Mandla,Reddy,[Individual Applicant],,Working - Contacted
RY-LEAD-01157488,Sarah,Nel,[Individual Applicant],sarahnel60@mweb.co.za,Qualified
RY-LEAD-01253028,Mandla,Mabaso,[Individual Applicant],mandla.mabaso333@mweb.co.za,Qualified
RY-LEAD-01253624,Ryan,Pretorius,[Individual Applicant],ryan.pretorius131@icloud.com,Qualified
RY-LEAD-01253198,Lindiwe,Nel,[Individual Applicant],lindiwe.nel890@outlook.com,Open - Not Contacted
RY-LEAD-01249692,Mandla,Maseko,[Individual Applicant],mandla.maseko402@gmail.com,Nurture
RY-LEAD-00129085,Zaid,Khumalo,[Individual Applicant],zaid.khumalo18@gmail.com,Open - Not Contacted
RY-LEAD-01180528,Rajesh,September,[Individual Applicant],rajeshseptember27@gmail.com,Unqualified
RY-LEAD-00004217,Sipho  ,Coetzee,[Individual Applicant],siphocoetzee@outlook.com,Working - Contacted
RY-LEAD-01147353,Lerato,Nel,[Individual Applicant],lerato.nel355@mweb.co.za,Open - Not Contacted
RY-LEAD-00442976,Kyle,Van Wyk,[Individual Applicant],kyle_vanwyk5@hotmail.com,Open - Not Contacted
RY-LEAD-01250662,Zanele,Naidoo,[Individual Applicant],zanelenaidoo196@yahoo.com,Open - Not Contacted
RY-LEAD-01371837,Busisiwe,Steyn,[Individual Applicant],busisiwe_steyn101@icloud.com,Working - Contacted
RY-LEAD-01324970,Tshepo,Venter,[Individual Applicant],tshepo.venter11@mweb.co.za,Nurture
RY-LEAD-00068616,Zanele,Steyn,[Individual Applicant],zanele.steyn9@hotmail.com,Open - Not Contacted
RY-LEAD-01337959,Thandiwe,Williams,[Individual Applicant],thandiwe.williams271@outlook.com,Open - Not Contacted
RY-LEAD-00117860,Thabo,mahlangu,[Individual Applicant],thabo.mahlangu361@hotmail.com,Open - Not Contacted
RY-LEAD-01497587,Johan,Ndlovu,[Individual Applicant],johan.ndlovu407@mweb.co.za,Converted
RY-LEAD-00579289,Daniel,Mahlangu,[Individual Applicant],daniel.mahlangu29@mweb.co.za,Nurture
RY-LEAD-01337033,Michael,Radebe,[Individual Applicant],michael.radebe982@gmail.com,Open - Not Contacted
RY-LEAD-00641559,KAGISO,Williams,[Individual Applicant],kagiso.williams85@gmail.com,Qualified
RY-LEAD-01246206,Thabo,Khumalo,[Individual Applicant],thabo.khumalo726@mweb.co.za,Open - Not Contacted
RY-LEAD-00040427,Michael,Pillay,[Individual Applicant],michael.pillay9@gmail.com,Qualified
RY-LEAD-01337184,Ryan,Pretorius,[Individual Applicant],ryan.pretorius142@yahoo.com,Nurture
RY-LEAD-00241044,Thabo,Abrahams,[Individual Applicant],thabo.abrahams73@yahoo.com,Open - Not Contacted
RY-LEAD-01251866,Themba,Molefe,[Individual Applicant],themba.molefe304@mweb.co.za,Open - Not Contacted
RY-LEAD-00335718,Sarah,Fourie,[Individual Applicant],sarahfourie13@outlook.com,Nurture
RY-LEAD-01339839,Zaid,Daniels,[Individual Applicant],zaid.daniels87@gmail.com,Nurture
RY-LEAD-01075267,Thandiwe,Sithole,[Individual Applicant],thandiwe.sithole350@hotmail.com,Working - Contacted
RY-LEAD-01075113,Johan,Smith,[Individual Applicant],johansmith547@gmail.com,Open - Not Contacted
RY-LEAD-00262126,Kagiso,Mthembu,[Individual Applicant],kagiso.mthembu73@yahoo.com,Open - Not Contacted
RY-LEAD-01143582,Lerato,Dlamini,[Individual Applicant],lerato.dlamini729@gmail.com,Unqualified
RY-LEAD-00491511,Lindiwe,Maseko,[Individual Applicant],lindiwemaseko31@gmail.com,Nurture
RY-LEAD-01177892,David,Petersen,[Individual Applicant],davidpetersen64@icloud.com,Nurture
RY-LEAD-00200795,Megan,Mabaso,[Individual Applicant],meganmabaso801@vodamail.co.za,Working - Contacted
RY-LEAD-01109556,Hendrik,steyn,[Individual Applicant],hendrik.steyn241@gmail.com,Open - Not Contacted
RY-LEAD-00337406,Kyle,Pretorius,[Individual Applicant],kyle.pretorius44@gmail.com,Qualified
RY-LEAD-01488378,Pieter,Radebe,[Individual Applicant],pieterradebe409@gmail.com,Working - Contacted
RY-LEAD-00224034,lerato,Fourie,[Individual Applicant],leratofourie27@hotmail.com,Unqualified
RY-LEAD-01352592,Kagiso,Reddy,[Individual Applicant],kagisoreddy392@outlook.com,Nurture
RY-LEAD-00179123,James,Naidoo,[Individual Applicant],james.naidoo22@gmail.com,Nurture
RY-LEAD-01479474,Thandiwe,Steyn,[Individual Applicant],thandiwe.steyn237@outlook.com,Converted
RY-LEAD-00134947,Ayanda,Molefe,[Individual Applicant],ayandamolefe21@webmail.co.za,Nurture
RY-LEAD-01200011,Nokuthula,Khumalo,[Individual Applicant],nokuthula.khumalo475@gmail.com,Converted
RY-LEAD-01123736,Ayanda,Nyathi,[Individual Applicant],ayanda.nyathi266@gmail.com,Qualified
RY-LEAD-01226435,Katlego,Isaacs,[Individual Applicant],katlego.isaacs168@yahoo.com,Working - Contacted
RY-LEAD-00597391,Mandla,Van Wyk,[Individual Applicant],mandla.vanwyk131@gmail.com,Converted
RY-LEAD-01315340,Megan,September,[Individual Applicant],meganseptember242@yahoo.com,Working - Contacted
RY-LEAD-00390595,Themba,Nortje,[Individual Applicant],themba.nortje929@live.co.za,Converted
RY-LEAD-01470493,Themba  ,Molefe,[Individual Applicant],themba.molefe346@gmail.com,Qualified
RY-LEAD-00173984,Yusuf,Petersen,[Individual Applicant],yusuf.petersen18@gmail.com,Qualified
RY-LEAD-01066950,Priya,dlamini,[Individual Applicant],priyadlamini81@hotmail.com,Qualified
RY-LEAD-00323893,Jessica,Naidoo,[Individual Applicant],jessica.naidoo30@gmail.com,Open - Not Contacted
RY-LEAD-01236386,Thabo,Venter,[Individual Applicant],thabo.venter5591@hotmail.com,Open - Not Contacted
RY-LEAD-00118275,Zaid,Pretorius,[Individual Applicant],zaidpretorius906@gmail.com,Open - Not Contacted
RY-LEAD-01236651,Andile,Fortuin,[Individual Applicant],andile.fortuin148@gmail.com,Nurture
RY-LEAD-01459626,Pieter  ,Dlamini,[Individual Applicant],pieter.dlamini938@gmail.com,Open - Not Contacted
RY-LEAD-01236919,Bongani,Nkosi,[Individual Applicant],bonganinkosi291@gmail.com,Qualified
RY-LEAD-00294216,Nomsa,Khumalo,[Individual Applicant],nomsa.khumalo134@outlook.com,Working - Contacted
RY-LEAD-01299133,Nomsa,Moodley,[Individual Applicant],nomsa.moodley306@gmail.com,Unqualified
RY-LEAD-01455966,Mandla,Smith,[Individual Applicant],mandla.smith543@gmail.com,Nurture
RY-LEAD-01077654,Sipho,Govender,[Individual Applicant],sipho.govender331@gmail.com,Working - Contacted
RY-LEAD-01456287,Andile,Abrahams,[Individual Applicant],andile.abrahams160@gmail.com,Working - Contacted
RY-LEAD-01453746,Nadia,Nyathi,[Individual Applicant],nadianyathi58@gmail.com,Working - Contacted
RY-LEAD-01454290,Nomsa,Fortuin,[Individual Applicant],nomsafortuin95@mweb.co.za,Working - Contacted
RY-LEAD-01057102,Michael,Van Wyk,[Individual Applicant],michael.vanwyk785@gmail.com,Open - Not Contacted
RY-LEAD-01456715,Sibusiso,Ndlovu,[Individual Applicant],sibusisondlovu215@webmail.co.za,Qualified
RY-LEAD-01292223,Tshepo,Jacobs,[Individual Applicant],tshepo_jacobs217@gmail.com,Open - Not Contacted
RY-LEAD-01293398,Jessica,Govender,[Individual Applicant],jessica.govender135@gmail.com,Unqualified
RY-LEAD-01201002,Lerato,Maseko,[Individual Applicant],lerato.maseko416@gmail.com,Unqualified
RY-LEAD-01448406,Nomsa,Hendricks,[Individual Applicant],nomsa.hendricks985@gmail.com,Converted
RY-LEAD-01294910,Themba,Jacobs,[Individual Applicant],themba.jacobs980@gmail.com,Qualified
RY-LEAD-01303397,Aisha,Steyn,[Individual Applicant],aisha.steyn106@gmail.com,Unqualified
RY-LEAD-01156621,Lindiwe,Abrahams,[Individual Applicant],,Open - Not Contacted
RY-LEAD-00490765,Zanele,Pillay,[Individual Applicant],zanele.pillay152@hotmail.com,Unqualified
RY-LEAD-01229695,Pieter,Molefe,[Individual Applicant],pieter.molefe246@telkomsa.net,Converted
RY-LEAD-01286817,Daniel,MTHEMBU,[Individual Applicant],daniel.mthembu188@gmail.com,Open - Not Contacted
RY-LEAD-01195653,Ayanda,Mabaso,[Individual Applicant],ayanda.mabaso300@gmail.com,Working - Contacted
RY-LEAD-01439154,Willem,Ndlovu,[Individual Applicant],willemndlovu117@yahoo.com,Unqualified
RY-LEAD-01283319,Shireen,Nkosi,[Individual Applicant],shireen.nkosi201@webmail.co.za,Open - Not Contacted
RY-LEAD-01432515,Marlize,Nkosi,[Individual Applicant],marlizenkosi113@yahoo.com,Working - Contacted
RY-LEAD-01426107,Zanele,Maseko,[Individual Applicant],zanele.maseko404@gmail.com,Converted
RY-LEAD-01440228,Lerato,Botha,[Individual Applicant],lerato.botha898@gmail.com,Working - Contacted
RY-LEAD-01057989,Themba,Mahlangu,[Individual Applicant],themba.mahlangu254@gmail.com,Working - Contacted
RY-LEAD-01168799,Nkosinathi,Ndlovu,[Individual Applicant],nkosinathi.ndlovu300@outlook.com,Qualified
RY-LEAD-01099249,Katlego,Fourie,[Individual Applicant],katlego.fourie156@telkomsa.net,Open - Not Contacted
RY-LEAD-01419761,nokuthula,Van der Merwe,[Individual Applicant],nokuthula.vandermerwe3561@gmail.com,Qualified
RY-LEAD-01075207,Ryan,Mahlangu,[Individual Applicant],ryan.mahlangu198@vodamail.co.za,Open - Not Contacted
RY-LEAD-01414116,Fatima,September,[Individual Applicant],fatima.september138@live.co.za,Unqualified
RY-LEAD-01194346,Mandla,Jansen  ,[Individual Applicant],mandla.jansen213@gmail.com,Working - Contacted
RY-LEAD-01444110,Bongani,Moodley,[Individual Applicant],bongani_moodley52@gmail.com,Working - Contacted
RY-LEAD-01176569,Mandla,Ndlovu,[Individual Applicant],mandlandlovu219@icloud.com,Qualified
RY-LEAD-01410384,Tshepo,Mahlangu,[Individual Applicant],tshepo.mahlangu450@gmail.com,Qualified
RY-LEAD-01279106,Palesa,Abrahams,[Individual Applicant],palesa.abrahams248@gmail.com,Qualified
RY-LEAD-01411216,Megan,Sithole,[Individual Applicant],megan.sithole242@gmail.com,Working - Contacted
RY-LEAD-01129718,Bongani,Khumalo,[Individual Applicant],bongani.khumalo486@webmail.co.za,Working - Contacted
RY-LEAD-01405607,Chantelle,daniels,[Individual Applicant],chantelle.daniels134@icloud.com,Converted
RY-LEAD-01278538,Anmarie,VAN DER MERWE,[Individual Applicant],anmarie_vandermerwe25@outlook.com,Working - Contacted
RY-LEAD-01411434,Chantelle,Sithole,[Individual Applicant],chantellesithole103@yahoo.com,Unqualified
RY-LEAD-01398245,Katlego,Dlamini,[Individual Applicant],katlego.dlamini9301@telkomsa.net,Qualified
RY-LEAD-01398329,Zodwa,Mokoena,[Individual Applicant],zodwa.mokoena389@hotmail.com,Open - Not Contacted
RY-LEAD-01053330,Nomsa,NEL,[Individual Applicant],,Open - Not Contacted
RY-LEAD-01398686,Zanele,Mahlangu,[Individual Applicant],zanelemahlangu221@mweb.co.za,Open - Not Contacted
RY-LEAD-01241731,mpho,Mthembu,[Individual Applicant],mpho.mthembu386@webmail.co.za,Working - Contacted
RY-LEAD-01397609,Johan,Nel,[Individual Applicant],johan.nel224@telkomsa.net,Nurture
RY-LEAD-01289560,Tariq,Ndlovu,[Individual Applicant],tariq.ndlovu156@gmail.com,Open - Not Contacted
RY-LEAD-00439348,Chad,Nel,[Individual Applicant],chad.nel31@gmail.com,Open - Not Contacted
RY-LEAD-01162855,Naledi,Khumalo,[Individual Applicant],naledikhumalo4081@gmail.com,Converted
RY-LEAD-01269636,Nokuthula,Dlamini,[Individual Applicant],nokuthula.dlamini571@vodamail.co.za,Open - Not Contacted
RY-LEAD-01222853,REFILWE,Abrahams,[Individual Applicant],refilwe.abrahams246@gmail.com,Nurture
