RY_External_ID__c,FirstName,LastName,Email,Phone,MailingCity,MailingCountry,Account_Key
RYSCALE-CON-000000050,David,Ndlovu,customer000000049@example.com,+27 00 0000049,Johannesburg,South Africa,RYSCALE-ACC-000000050
RYSCALE-CON-000000051,Karabo,Mokoena,,+27 00 0000051,Pretoria,South Africa,RYSCALE-ACC-000000051
RYSCALE-CON-000000052, naledi ,Maseko,customer000000052@example.com,+27 00 0000052,Gqeberha,South Africa,RYSCALE-ACC-000000052
RYSCALE-CON-000000053,Siyanda,Molefe,customer000000053@example.com,+27 00 0000053,Bloemfontein,South Africa,RYSCALE-ACC-000000053
RYSCALE-CON-000000054,Amina,Patel,customer000000054@example.com,+27 00 0000054,Polokwane,ZA,RYSCALE-ACC-000000054
RYSCALE-CON-000000055,Thabo,Smith,customer000000055@example.com,,Kimberley,South Africa,RYSCALE-ACC-000000055
RYSCALE-CON-000000056,Lwazi,Khumalo,customer000000056@example.com,+27-00-0000056,Cape Town,South Africa,RYSCALE-ACC-000000056
RYSCALE-CON-000000057,Emma,Nkosi,CUSTOMER000000057@EXAMPLE.COM,+27 00 0000057,Johannesburg,South Africa,RYSCALE-ACC-000000057
RYSCALE-CON-000000058,Chloe,Hassan,customer000000058@example.com,+27 00 0000058,DURBAN ,South Africa,RYSCALE-ACC-000000058
RYSCALE-CON-000000059,Zanele,Williams,customer000000059@example.com,+27 00 0000059,Pretoria,South Africa,RYSCALE-ACC-000000059
RYSCALE-CON-000000060,Nomsa,Jacobs,customer000000060@example.com,+27 00 0000060,Gqeberha,South Africa,RYSCALE-ACC-000000060
RYSCALE-CON-000000061,Daniel,Adams,customer000000061@example.com,+27 00 0000061,Bloemfontein,South Africa,RYSCALE-ACC-000000061
RYSCALE-CON-000000062,Ayesha,Petersen,customer000000062.typo@example.com,+27 00 0000062,Polokwane,South Africa,RYSCALE-ACC-000000062
RYSCALE-CON-000000063,Priya,Naidoo,customer000000063@example.com,+27-00-0000063,Kimberley,ZA,RYSCALE-ACC-000000063
RYSCALE-CON-000000064,Nandi,Dlamini,customer000000064@example.com,+27 00 0000064,Cape Town,South Africa,RYSCALE-ACC-000000064
RYSCALE-CON-000000065, ravi ,Ndlovu,customer000000065@example.com,+27 00 0000065,Johannesburg,South Africa,RYSCALE-ACC-000000065
RYSCALE-CON-000000066,Fatima,Botha,customer000000066@example.com,,Durban,South Africa,RYSCALE-ACC-000000066
RYSCALE-CON-000000067,Imran,Mokoena,customer000000067@example.com,+27 00 0000067,Pretoria,South Africa,RYSCALE-ACC-000000067
RYSCALE-CON-000000068,Buhle,Maseko,,+27 00 0000068,Gqeberha,South Africa,RYSCALE-ACC-000000068
RYSCALE-CON-000000069,Sipho,MOLEFE,customer000000069@example.com,+27 00 0000069,Bloemfontein,South Africa,RYSCALE-ACC-000000069
RYSCALE-CON-000000070,Mpho,Patel,customer000000070@example.com,+27-00-0000070,Polokwane,South Africa,RYSCALE-ACC-000000070
RYSCALE-CON-000000071,Sizwe,Smith,customer000000071@example.com,+27 00 0000071,Kimberley,South Africa,RYSCALE-ACC-000000071
RYSCALE-CON-000000072,Lerato,Khumalo,customer000000072@example.com,+27 00 0000072,Cape Town,ZA,RYSCALE-ACC-000000072
RYSCALE-CON-000000073,David,Nkosi,customer000000073@example.com,+27 00 0000073,Johannesburg,South Africa,RYSCALE-ACC-000000073
RYSCALE-CON-000000074,Kabelo,Hassan,customer000000074@example.com,+27 00 0000074,Durban,South Africa,RYSCALE-ACC-000000074
RYSCALE-CON-000000075,Karabo,Williams,customer000000075@example.com,+27 00 0000075,Pretoria,South Africa,RYSCALE-ACC-000000075
RYSCALE-CON-000000076,Naledi,Jacobs,CUSTOMER000000076@EXAMPLE.COM,+27 00 0000076,Gqeberha,South Africa,RYSCALE-ACC-000000076
RYSCALE-CON-000000077,Siyanda,Adams,customer000000077@example.com,,Bloemfontein,South Africa,RYSCALE-ACC-000000077
RYSCALE-CON-000000078, amina ,Petersen,customer000000078@example.com,+27 00 0000078,Polokwane,South Africa,RYSCALE-ACC-000000078
RYSCALE-CON-000000079,Thabo,Naidoo,customer000000079@example.com,+27 00 0000079,Kimberley,South Africa,RYSCALE-ACC-000000079
RYSCALE-CON-000000080,Lwazi,Dlamini,customer000000080@example.com,+27 00 0000080,Cape Town,South Africa,RYSCALE-ACC-000000080
RYSCALE-CON-000000081,Emma,Ndlovu,customer000000081@example.com,+27 00 0000081,Johannesburg,ZA,RYSCALE-ACC-000000081
RYSCALE-CON-000000082,Chloe,Botha,customer000000082@example.com,+27 00 0000082,Durban,South Africa,RYSCALE-ACC-000000082
RYSCALE-CON-000000083,Zanele,Mokoena,customer000000083@example.com,+27 00 0000083,Pretoria,South Africa,RYSCALE-ACC-000000083
RYSCALE-CON-000000084,Nomsa,Maseko,customer000000084@example.com,+27-00-0000084,Gqeberha,South Africa,RYSCALE-ACC-000000084
RYSCALE-CON-000000085,Daniel,Molefe,,+27 00 0000085,Bloemfontein,South Africa,RYSCALE-ACC-000000085
RYSCALE-CON-000000086,Ayesha,Patel,customer000000086@example.com,+27 00 0000086,Polokwane,South Africa,RYSCALE-ACC-000000086
RYSCALE-CON-000000087,Priya,Smith,customer000000087@example.com,+27 00 0000087,KIMBERLEY ,South Africa,RYSCALE-ACC-000000087
RYSCALE-CON-000000088,Nandi,Khumalo,customer000000088@example.com,,Cape Town,South Africa,RYSCALE-ACC-000000088
RYSCALE-CON-000000089,Ravi,Nkosi,customer000000089@example.com,+27 00 0000089,Johannesburg,South Africa,RYSCALE-ACC-000000089
RYSCALE-CON-000000090,Fatima,Hassan,customer000000090@example.com,+27 00 0000090,Durban,ZA,RYSCALE-ACC-000000090
RYSCALE-CON-000000091, imran ,Williams,customer000000091@example.com,+27-00-0000091,Pretoria,South Africa,RYSCALE-ACC-000000091
RYSCALE-CON-000000092,Buhle,JACOBS,customer000000092@example.com,+27 00 0000092,Gqeberha,South Africa,RYSCALE-ACC-000000092
RYSCALE-CON-000000093,Sipho,Adams,customer000000093.typo@example.com,+27 00 0000093,Bloemfontein,South Africa,RYSCALE-ACC-000000093
RYSCALE-CON-000000094,Mpho,Petersen,customer000000094@example.com,+27 00 0000094,Polokwane,South Africa,RYSCALE-ACC-000000094
RYSCALE-CON-000000095,Sizwe,Naidoo,CUSTOMER000000095@EXAMPLE.COM,+27 00 0000095,Kimberley,South Africa,RYSCALE-ACC-000000095
RYSCALE-CON-000000096,Lerato,Dlamini,customer000000096@example.com,+27 00 0000096,Cape Town,South Africa,RYSCALE-ACC-000000096
RYSCALE-CON-000000097,David,Ndlovu,customer000000097@example.com,+27 00 0000097,Johannesburg,South Africa,RYSCALE-ACC-000000097
RYSCALE-CON-000000098,Kabelo,Botha,customer000000098@example.com,+27-00-0000098,Durban,South Africa,RYSCALE-ACC-000000098
RYSCALE-CON-000000099,Karabo,Mokoena,customer000000099@example.com,,Pretoria,ZA,RYSCALE-ACC-000000099
RYSCALE-CON-000000100,Karabo,Mokoena,customer000000099@example.com,+27 00 0000099,Pretoria,South Africa,RYSCALE-ACC-000000100
