Id,Salesforce_Link,FirstName,LastName,Company,Email,Status,RY_External_ID__c,RY_Sample_Status__c,CreatedDate
00QjX0000005t2NUAQ,https://business-data-62022.lightning.force.com/lightning/r/Lead/00QjX0000005t2NUAQ/view,Refilwe,Pretorius,[Individual Applicant],refilwe.pretorius11@gmail.com,New,RY-LEAD-00063137,Open - Not Contacted,2026-09-09T12:47:38.000+0000
00QjX0000005v5oUAA,https://business-data-62022.lightning.force.com/lightning/r/Lead/00QjX0000005v5oUAA/view,Pieter,Damons,[Individual Applicant],pieter.damons270@gmail.com,New,RY-LEAD-00065164,Working - Contacted,2026-09-09T12:44:45.000+0000
00QjX0000005wMqUAI,https://business-data-62022.lightning.force.com/lightning/r/Lead/00QjX0000005wMqUAI/view,Bongani,Naidoo,[Individual Applicant],,New,RY-LEAD-00067133,Open - Not Contacted,2026-09-09T12:51:42.000+0000
00QjX0000005yYDUAY,https://business-data-62022.lightning.force.com/lightning/r/Lead/00QjX0000005yYDUAY/view,Tarryn,Williams,[Individual Applicant],tarryn.williams526@outlook.com,New,RY-LEAD-00071701,Open - Not Contacted,2026-09-09T12:44:05.000+0000
00QjX0000005uEYUAY,https://business-data-62022.lightning.force.com/lightning/r/Lead/00QjX0000005uEYUAY/view,Andile,Hendricks,[Individual Applicant],andilehendricks351@gmail.com,New,RY-LEAD-00077076,Nurture,2026-09-09T12:49:06.000+0000
00QjX0000005tFHUAY,https://business-data-62022.lightning.force.com/lightning/r/Lead/00QjX0000005tFHUAY/view,Mpho,Pretorius,[Individual Applicant],mpho.pretorius110@gmail.com,New,RY-LEAD-00079702,Qualified,2026-09-09T12:48:51.000+0000
00QjX0000005u03UAA,https://business-data-62022.lightning.force.com/lightning/r/Lead/00QjX0000005u03UAA/view,Thabo,Maseko,[Individual Applicant],thabo.maseko22@hotmail.com,New,RY-LEAD-00079852,Working - Contacted,2026-09-09T12:41:11.000+0000
00QjX0000005wHxUAI,https://business-data-62022.lightning.force.com/lightning/r/Lead/00QjX0000005wHxUAI/view,Tariq,Van der Merwe,[Individual Applicant],tariq.vandermerwe11@gmail.com,New,RY-LEAD-00088556,Converted,2026-09-09T12:47:46.000+0000
00QjX0000005yBdUAI,https://business-data-62022.lightning.force.com/lightning/r/Lead/00QjX0000005yBdUAI/view,Zaid,Nkosi,[Individual Applicant],zaid_nkosi1@gmail.com,New,RY-LEAD-00088686,Unqualified,2026-09-09T12:39:36.000+0000
00QjX0000005yhuUAA,https://business-data-62022.lightning.force.com/lightning/r/Lead/00QjX0000005yhuUAA/view,Zanele,Adams,[Individual Applicant],zanele.adams596@gmail.com,New,RY-LEAD-00093982,Converted,2026-09-09T12:47:45.000+0000
00QjX0000005wjKUAQ,https://business-data-62022.lightning.force.com/lightning/r/Lead/00QjX0000005wjKUAQ/view,Johan,Pillay,[Individual Applicant],johan_pillay1@mweb.co.za,New,RY-LEAD-00097009,Unqualified,2026-09-09T12:43:12.000+0000
00QjX0000005umTUAQ,https://business-data-62022.lightning.force.com/lightning/r/Lead/00QjX0000005umTUAQ/view,Sibusiso,Coetzee,[Individual Applicant],sibusiso.coetzee19@webmail.co.za,New,RY-LEAD-00097385,Open - Not Contacted,2026-09-09T12:51:08.000+0000
00QjX0000005vlhUAA,https://business-data-62022.lightning.force.com/lightning/r/Lead/00QjX0000005vlhUAA/view,Kirsten,Van Wyk,[Individual Applicant],kirsten.vanwyk898@icloud.com,New,RY-LEAD-00104557,Nurture,2026-09-09T12:39:41.000+0000
00QjX0000005y3aUAA,https://business-data-62022.lightning.force.com/lightning/r/Lead/00QjX0000005y3aUAA/view,Nomsa,Mahlangu,[Individual Applicant],nomsa.mahlangu15@gmail.com,New,RY-LEAD-00107787,Nurture,2026-09-09T12:42:16.000+0000
00QjX0000005wbIUAQ,https://business-data-62022.lightning.force.com/lightning/r/Lead/00QjX0000005wbIUAQ/view,Yusuf,Steyn,[Individual Applicant],yusuf.steyn13@webmail.co.za,New,RY-LEAD-00108280,Working - Contacted,2026-09-09T12:40:44.000+0000
00QjX0000005wUqUAI,https://business-data-62022.lightning.force.com/lightning/r/Lead/00QjX0000005wUqUAI/view,Lindiwe,Van der Merwe,[Individual Applicant],lindiwe_vandermerwe4@gmail.com,New,RY-LEAD-00109015,Open - Not Contacted,2026-09-09T12:40:17.000+0000
00QjX0000005xFgUAI,https://business-data-62022.lightning.force.com/lightning/r/Lead/00QjX0000005xFgUAI/view,Emma,Ndlovu,[Individual Applicant],emma.ndlovu689@gmail.com,New,RY-LEAD-00114061,Unqualified,2026-09-09T12:51:44.000+0000
00QjX0000005yOXUAY,https://business-data-62022.lightning.force.com/lightning/r/Lead/00QjX0000005yOXUAY/view,Lerato,Mokoena,[Individual Applicant],leratomokoena33@outlook.com,New,RY-LEAD-00125216,Working - Contacted,2026-09-09T12:41:31.000+0000
00QjX0000005sfmUAA,https://business-data-62022.lightning.force.com/lightning/r/Lead/00QjX0000005sfmUAA/view,Nokuthula,Mabaso,[Individual Applicant],nokuthulamabaso973@outlook.com,New,RY-LEAD-00125369,Open - Not Contacted,2026-09-09T12:52:08.000+0000
00QjX0000005tohUAA,https://business-data-62022.lightning.force.com/lightning/r/Lead/00QjX0000005tohUAA/view,Katlego,Maseko,[Individual Applicant],katlegomaseko12@webmail.co.za,New,RY-LEAD-00126241,Open - Not Contacted,2026-09-09T12:45:55.000+0000
00QjX0000005y21UAA,https://business-data-62022.lightning.force.com/lightning/r/Lead/00QjX0000005y21UAA/view,Sipho,Zulu,[Individual Applicant],siphozulu25@gmail.com,New,RY-LEAD-00134223,Working - Contacted,2026-09-09T12:50:56.000+0000
00QjX0000005sG2UAI,https://business-data-62022.lightning.force.com/lightning/r/Lead/00QjX0000005sG2UAI/view,Kagiso,Van der Merwe,[Individual Applicant],kagiso.vandermerwe36@gmail.com,New,RY-LEAD-00137501,Converted,2026-09-09T12:52:06.000+0000
00QjX0000005vCFUAY,https://business-data-62022.lightning.force.com/lightning/r/Lead/00QjX0000005vCFUAY/view,Shireen,Jacobs,[Individual Applicant],shireen.jacobs798@hotmail.com,New,RY-LEAD-00142973,Working - Contacted,2026-09-09T12:51:46.000+0000
00QjX0000005yehUAA,https://business-data-62022.lightning.force.com/lightning/r/Lead/00QjX0000005yehUAA/view,Megan,Petersen,[Individual Applicant],meganpetersen5@gmail.com,New,RY-LEAD-00143969,Working - Contacted,2026-09-09T12:47:17.000+0000
00QjX0000005y0MUAQ,https://business-data-62022.lightning.force.com/lightning/r/Lead/00QjX0000005y0MUAQ/view,Yusuf,Molefe,[Individual Applicant],yusuf.molefe14@yahoo.com,New,RY-LEAD-00145796,Converted,2026-09-09T12:51:37.000+0000
00QjX0000005vYnUAI,https://business-data-62022.lightning.force.com/lightning/r/Lead/00QjX0000005vYnUAI/view,thabo,Nel,[Individual Applicant],thabo_nel186@gmail.com,New,RY-LEAD-00147880,Open - Not Contacted,2026-09-09T12:43:45.000+0000
00QjX0000005yQCUAY,https://business-data-62022.lightning.force.com/lightning/r/Lead/00QjX0000005yQCUAY/view,Marlize,Jansen,[Individual Applicant],marlize.jansen13@mweb.co.za,New,RY-LEAD-00149523,Working - Contacted,2026-09-09T12:44:35.000+0000
00QjX0000005w8HUAQ,https://business-data-62022.lightning.force.com/lightning/r/Lead/00QjX0000005w8HUAQ/view,Themba,Daniels,[Individual Applicant],themba.daniels83@gmail.com,New,RY-LEAD-00149769,Nurture,2026-09-09T12:49:42.000+0000
00QjX0000005t5dUAA,https://business-data-62022.lightning.force.com/lightning/r/Lead/00QjX0000005t5dUAA/view,Ayanda,Daniels,[Individual Applicant],ayandadaniels18@hotmail.com,New,RY-LEAD-00156377,Converted,2026-09-09T12:47:01.000+0000
00QjX0000005yI5UAI,https://business-data-62022.lightning.force.com/lightning/r/Lead/00QjX0000005yI5UAI/view,Zodwa,Van der Merwe,[Individual Applicant],zodwavandermerwe16@gmail.com,New,RY-LEAD-00165405,Unqualified,2026-09-09T12:40:56.000+0000
00QjX0000005yRrUAI,https://business-data-62022.lightning.force.com/lightning/r/Lead/00QjX0000005yRrUAI/view,Bongani,Dlamini,[Individual Applicant],,New,RY-LEAD-00171930,Working - Contacted,2026-09-09T12:49:38.000+0000
00QjX0000005uT5UAI,https://business-data-62022.lightning.force.com/lightning/r/Lead/00QjX0000005uT5UAI/view,Nokuthula,Nortje,[Individual Applicant],nokuthula.nortje31@gmail.com,New,RY-LEAD-00173249,Qualified,2026-09-09T12:45:01.000+0000
00QjX0000005xaYUAQ,https://business-data-62022.lightning.force.com/lightning/r/Lead/00QjX0000005xaYUAQ/view,PIETER,Smith,[Individual Applicant],pietersmith665@gmail.com,New,RY-LEAD-00181619,Working - Contacted,2026-09-09T12:40:51.000+0000
00QjX0000005wufUAA,https://business-data-62022.lightning.force.com/lightning/r/Lead/00QjX0000005wufUAA/view,Nkosinathi,Naidoo,[Individual Applicant],,New,RY-LEAD-00186015,Converted,2026-09-09T12:44:58.000+0000
00QjX0000005ygIUAQ,https://business-data-62022.lightning.force.com/lightning/r/Lead/00QjX0000005ygIUAQ/view,Thabo,Ndlovu,[Individual Applicant],thabo.ndlovu101@outlook.com,New,RY-LEAD-00186425,Working - Contacted,2026-09-09T12:47:20.000+0000
00QjX0000005uWFUAY,https://business-data-62022.lightning.force.com/lightning/r/Lead/00QjX0000005uWFUAY/view,ZODWA,Reddy,[Individual Applicant],zodwareddy12@mweb.co.za,New,RY-LEAD-00188376,Converted,2026-09-09T12:52:24.000+0000
00QjX0000005sntUAA,https://business-data-62022.lightning.force.com/lightning/r/Lead/00QjX0000005sntUAA/view,Ayanda,Botha,[Individual Applicant],,New,RY-LEAD-00191884,Working - Contacted,2026-09-09T12:40:48.000+0000
00QjX0000005whmUAA,https://business-data-62022.lightning.force.com/lightning/r/Lead/00QjX0000005whmUAA/view,ZANELE,Hendricks,[Individual Applicant],zanele.hendricks42@gmail.com,New,RY-LEAD-00195162,Converted,2026-09-09T12:51:00.000+0000
00QjX0000005sG0UAI,https://business-data-62022.lightning.force.com/lightning/r/Lead/00QjX0000005sG0UAI/view,Fatima,Ndlovu,[Individual Applicant],fatima.ndlovu779@gmail.com,New,RY-LEAD-00195915,Converted,2026-09-09T12:48:56.000+0000
00QjX0000005vk5UAA,https://business-data-62022.lightning.force.com/lightning/r/Lead/00QjX0000005vk5UAA/view,mpho,Nortje,[Individual Applicant],mpho.nortje18@webmail.co.za,New,RY-LEAD-00200020,Open - Not Contacted,2026-09-09T12:40:25.000+0000
00QjX0000005ymjUAA,https://business-data-62022.lightning.force.com/lightning/r/Lead/00QjX0000005ymjUAA/view,Busisiwe,Williams,[Individual Applicant],busisiwewilliams18@hotmail.com,New,RY-LEAD-00208829,Unqualified,2026-09-09T12:50:13.000+0000
00QjX0000005yQEUAY,https://business-data-62022.lightning.force.com/lightning/r/Lead/00QjX0000005yQEUAY/view,Jessica,Jacobs,[Individual Applicant],jessica.jacobs32@gmail.com,New,RY-LEAD-00209800,Working - Contacted,2026-09-09T12:45:45.000+0000
00QjX0000005yjWUAQ,https://business-data-62022.lightning.force.com/lightning/r/Lead/00QjX0000005yjWUAQ/view,James,Nel,[Individual Applicant],james.nel25@icloud.com,New,RY-LEAD-00211215,Working - Contacted,2026-09-09T12:49:17.000+0000
00QjX0000005yEtUAI,https://business-data-62022.lightning.force.com/lightning/r/Lead/00QjX0000005yEtUAI/view,Zanele,Jansen,[Individual Applicant],zanelejansen24@outlook.com,New,RY-LEAD-00217868,Converted,2026-09-09T12:45:47.000+0000
00QjX0000005ypxUAA,https://business-data-62022.lightning.force.com/lightning/r/Lead/00QjX0000005ypxUAA/view,Andile,Hendricks,[Individual Applicant],andile.hendricks620@icloud.com,New,RY-LEAD-00217900,Open - Not Contacted,2026-09-09T12:51:03.000+0000
00QjX0000005wl1UAA,https://business-data-62022.lightning.force.com/lightning/r/Lead/00QjX0000005wl1UAA/view,Roche,Petersen,[Individual Applicant],rochepetersen4@outlook.com,New,RY-LEAD-00218173,Working - Contacted,2026-09-09T12:41:25.000+0000
00QjX0000005togUAA,https://business-data-62022.lightning.force.com/lightning/r/Lead/00QjX0000005togUAA/view,Sipho,Botha,[Individual Applicant],siphobotha41@gmail.co.za,New,RY-LEAD-00220541,Open - Not Contacted,2026-09-09T12:42:29.000+0000
00QjX0000005vNVUAY,https://business-data-62022.lightning.force.com/lightning/r/Lead/00QjX0000005vNVUAY/view,Lerato,Radebe,[Individual Applicant],lerato.radebe396@gmail.com,New,RY-LEAD-00222560,Working - Contacted,2026-09-09T12:50:01.000+0000
00QjX0000005wl5UAA,https://business-data-62022.lightning.force.com/lightning/r/Lead/00QjX0000005wl5UAA/view,Thandiwe,Moodley,[Individual Applicant],thandiwe.moodley181@gmail.com,New,RY-LEAD-00222986,Working - Contacted,2026-09-09T12:50:53.000+0000
00QjX0000005wHwUAI,https://business-data-62022.lightning.force.com/lightning/r/Lead/00QjX0000005wHwUAI/view,Nomsa,Molefe,[Individual Applicant],nomsa.molefe819@gmail.com,New,RY-LEAD-00224357,Qualified,2026-09-09T12:46:19.000+0000
00QjX0000005xsLUAQ,https://business-data-62022.lightning.force.com/lightning/r/Lead/00QjX0000005xsLUAQ/view,Zaid,Nkosi,[Individual Applicant],zaid.nkosi45@live.co.za,New,RY-LEAD-00232125,Nurture,2026-09-09T12:52:27.000+0000
00QjX0000005xymUAA,https://business-data-62022.lightning.force.com/lightning/r/Lead/00QjX0000005xymUAA/view,Lerato,Dlamini,[Individual Applicant],lerato.dlamini159@gmail.com,New,RY-LEAD-00237397,Open - Not Contacted,2026-09-09T12:47:57.000+0000
00QjX0000005t5aUAA,https://business-data-62022.lightning.force.com/lightning/r/Lead/00QjX0000005t5aUAA/view,Mpho,Botha,[Individual Applicant],mpho.botha74@gmail.com,New,RY-LEAD-00238460,Working - Contacted,2026-09-09T12:39:52.000+0000
00QjX0000005yegUAA,https://business-data-62022.lightning.force.com/lightning/r/Lead/00QjX0000005yegUAA/view,Sipho,Nkosi,[Individual Applicant],sipho.nkosi133@gmail.com,New,RY-LEAD-00241405,Qualified,2026-09-09T12:47:00.000+0000
00QjX0000005wl3UAA,https://business-data-62022.lightning.force.com/lightning/r/Lead/00QjX0000005wl3UAA/view,Kagiso,Mahlangu,[Individual Applicant],kagisomahlangu34@outlook.com,New,RY-LEAD-00242086,Converted,2026-09-09T12:45:58.000+0000
00QjX0000005xPHUAY,https://business-data-62022.lightning.force.com/lightning/r/Lead/00QjX0000005xPHUAY/view,Elmarie,Maseko,[Individual Applicant],elmarie.maseko548@hotmail.com,New,RY-LEAD-00242755,Working - Contacted,2026-09-09T12:44:11.000+0000
00QjX0000005wMnUAI,https://business-data-62022.lightning.force.com/lightning/r/Lead/00QjX0000005wMnUAI/view,Johan,williams,[Individual Applicant],johan.williams33@telkomsa.net,New,RY-LEAD-00245422,Converted,2026-09-09T12:40:35.000+0000
00QjX0000005y6pUAA,https://business-data-62022.lightning.force.com/lightning/r/Lead/00QjX0000005y6pUAA/view,Andile,Petersen,[Individual Applicant],andile.petersen35@outlook.com,New,RY-LEAD-00246817,Open - Not Contacted,2026-09-09T12:51:17.000+0000
00QjX0000005sr5UAA,https://business-data-62022.lightning.force.com/lightning/r/Lead/00QjX0000005sr5UAA/view,Daniel,Isaacs,[Individual Applicant],daniel.isaacs29@icloud.com,New,RY-LEAD-00253775,Nurture,2026-09-09T12:45:07.000+0000
00QjX0000005yDGUAY,https://business-data-62022.lightning.force.com/lightning/r/Lead/00QjX0000005yDGUAY/view,Thabo,Khumalo,[Individual Applicant],thabo.khumalo134@outlook.com,New,RY-LEAD-00258373,Open - Not Contacted,2026-09-09T12:40:58.000+0000
00QjX0000005wg9UAA,https://business-data-62022.lightning.force.com/lightning/r/Lead/00QjX0000005wg9UAA/view,Sarah,Sibiya,[Individual Applicant],sarah_sibiya9@gmail.com,New,RY-LEAD-00259612,Qualified,2026-09-09T12:46:10.000+0000
00QjX0000005ufvUAA,https://business-data-62022.lightning.force.com/lightning/r/Lead/00QjX0000005ufvUAA/view,Sarah,Nyathi,[Individual Applicant],sarahnyathi15@gmail.com,New,RY-LEAD-00261338,Converted,2026-09-09T12:41:00.000+0000
00QjX0000005xFdUAI,https://business-data-62022.lightning.force.com/lightning/r/Lead/00QjX0000005xFdUAI/view,Johan,Mahlangu,[Individual Applicant],johan.mahlangu59@gmail.com,New,RY-LEAD-00266994,Working - Contacted,2026-09-09T12:43:00.000+0000
00QjX0000005yQBUAY,https://business-data-62022.lightning.force.com/lightning/r/Lead/00QjX0000005yQBUAY/view,Megan,Isaacs,[Individual Applicant],meganisaacs14@yahoo.com,New,RY-LEAD-00273792,Qualified,2026-09-09T12:42:40.000+0000
00QjX0000005umQUAQ,https://business-data-62022.lightning.force.com/lightning/r/Lead/00QjX0000005umQUAQ/view,Megan,Botha,[Individual Applicant],meganbotha14@outlook.com,New,RY-LEAD-00273885,Qualified,2026-09-09T12:49:55.000+0000
00QjX0000005x5uUAA,https://business-data-62022.lightning.force.com/lightning/r/Lead/00QjX0000005x5uUAA/view,Palesa,Molefe,[Individual Applicant],palesa.molefe410@gmail.com,New,RY-LEAD-00274868,Qualified,2026-09-09T12:46:53.000+0000
00QjX0000005xxFUAQ,https://business-data-62022.lightning.force.com/lightning/r/Lead/00QjX0000005xxFUAQ/view,Lerato,Abrahams,[Individual Applicant],leratoabrahams46@gmail.com,New,RY-LEAD-00276543,Unqualified,2026-09-09T12:48:03.000+0000
00QjX0000005umVUAQ,https://business-data-62022.lightning.force.com/lightning/r/Lead/00QjX0000005umVUAQ/view,Ilse,Adams,[Individual Applicant],ilseadams5@mweb.co.za,New,RY-LEAD-00282513,Working - Contacted,2026-09-09T12:51:28.000+0000
00QjX0000005vovUAA,https://business-data-62022.lightning.force.com/lightning/r/Lead/00QjX0000005vovUAA/view,Jessica,Venter,[Individual Applicant],jessica.venter25@gmail.com,New,RY-LEAD-00287386,Converted,2026-09-09T12:47:15.000+0000
00QjX0000005wxvUAA,https://business-data-62022.lightning.force.com/lightning/r/Lead/00QjX0000005wxvUAA/view,Riaan,Nyathi,[Individual Applicant],riaannyathi14@gmail.com,New,RY-LEAD-00294436,Working - Contacted,2026-09-09T12:50:31.000+0000
00QjX0000005v2ZUAQ,https://business-data-62022.lightning.force.com/lightning/r/Lead/00QjX0000005v2ZUAQ/view,Lindiwe,Van der Merwe,[Individual Applicant],lindiwe_vandermerwe976@gmail.com,New,RY-LEAD-00301557,Nurture,2026-09-09T12:42:42.000+0000
00QjX0000005wrPUAQ,https://business-data-62022.lightning.force.com/lightning/r/Lead/00QjX0000005wrPUAQ/view,Sipho,Isaacs,[Individual Applicant],sipho.isaacs77@gmail.com,New,RY-LEAD-00303654,Nurture,2026-09-09T12:42:23.000+0000
00QjX0000005xaaUAA,https://business-data-62022.lightning.force.com/lightning/r/Lead/00QjX0000005xaaUAA/view,Zodwa,mahlangu,[Individual Applicant],zodwa.mahlangu44@webmail.co.za,New,RY-LEAD-00304096,Open - Not Contacted,2026-09-09T12:44:02.000+0000
00QjX0000005yRnUAI,https://business-data-62022.lightning.force.com/lightning/r/Lead/00QjX0000005yRnUAI/view,Thandiwe,Radebe,[Individual Applicant],thandiwe.radebe983@outlook.com,New,RY-LEAD-00308125,Qualified,2026-09-09T12:42:35.000+0000
00QjX0000005u05UAA,https://business-data-62022.lightning.force.com/lightning/r/Lead/00QjX0000005u05UAA/view,Busisiwe,Petersen,[Individual Applicant],busisiwe_petersen232@icloud.com,New,RY-LEAD-00313419,Qualified,2026-09-09T12:47:13.000+0000
00QjX0000005xVjUAI,https://business-data-62022.lightning.force.com/lightning/r/Lead/00QjX0000005xVjUAI/view,Michael,Mokoena,[Individual Applicant],michaelmokoena39@outlook.com,New,RY-LEAD-00322608,Unqualified,2026-09-09T12:43:30.000+0000
00QjX0000005vCCUAY,https://business-data-62022.lightning.force.com/lightning/r/Lead/00QjX0000005vCCUAY/view,Daniel,Sithole,[Individual Applicant],daniel.sithole46@gmail.com,New,RY-LEAD-00325501,Working - Contacted,2026-09-09T12:41:38.000+0000
00QjX0000005vTyUAI,https://business-data-62022.lightning.force.com/lightning/r/Lead/00QjX0000005vTyUAI/view,Kagiso,Zulu,[Individual Applicant],kagiso.zulu83@outlook.com,New,RY-LEAD-00326622,Converted,2026-09-09T12:40:06.000+0000
00QjX0000005tlVUAQ,https://business-data-62022.lightning.force.com/lightning/r/Lead/00QjX0000005tlVUAQ/view,Busisiwe,Sithole,[Individual Applicant],busisiwe.sithole74@gmail.com,New,RY-LEAD-00338176,Working - Contacted,2026-09-09T12:39:38.000+0000
00QjX0000005wTOUAY,https://business-data-62022.lightning.force.com/lightning/r/Lead/00QjX0000005wTOUAY/view,Katlego,Ndlovu,[Individual Applicant],katlego.ndlovu629@gmail.com,New,RY-LEAD-00340193,Open - Not Contacted,2026-09-09T12:48:16.000+0000
00QjX0000005xyqUAA,https://business-data-62022.lightning.force.com/lightning/r/Lead/00QjX0000005xyqUAA/view,Tshepo,Van Wyk,[Individual Applicant],tshepo.vanwyk85@gmail.com,New,RY-LEAD-00341466,Open - Not Contacted,2026-09-09T12:51:25.000+0000
00QjX0000005uEbUAI,https://business-data-62022.lightning.force.com/lightning/r/Lead/00QjX0000005uEbUAI/view,Ayanda,Daniels,[Individual Applicant],ayandadaniels37@hotmail.com,New,RY-LEAD-00342384,Nurture,2026-09-09T12:49:50.000+0000
00QjX0000005xykUAA,https://business-data-62022.lightning.force.com/lightning/r/Lead/00QjX0000005xykUAA/view,Zanele,Mokoena,[Individual Applicant],zanele_mokoena646@webmail.co.za,New,RY-LEAD-00347815,Working - Contacted,2026-09-09T12:46:39.000+0000
00QjX0000005uT6UAI,https://business-data-62022.lightning.force.com/lightning/r/Lead/00QjX0000005uT6UAI/view,Mandla,Botha,[Individual Applicant],mandla_botha18@gmail.com,New,RY-LEAD-00349189,Working - Contacted,2026-09-09T12:46:41.000+0000
00QjX0000005tlWUAQ,https://business-data-62022.lightning.force.com/lightning/r/Lead/00QjX0000005tlWUAQ/view,Kagiso,Maseko,[Individual Applicant],kagiso.maseko16@outlook.com,New,RY-LEAD-00354369,Converted,2026-09-09T12:40:11.000+0000
00QjX0000005wUrUAI,https://business-data-62022.lightning.force.com/lightning/r/Lead/00QjX0000005wUrUAI/view,Anmarie,Mthembu,[Individual Applicant],anmarie.mthembu60@yahoo.com,New,RY-LEAD-00362580,Working - Contacted,2026-09-09T12:45:12.000+0000
00QjX0000005yLNUAY,https://business-data-62022.lightning.force.com/lightning/r/Lead/00QjX0000005yLNUAY/view,Ayanda,Maseko,[Individual Applicant],ayanda.maseko105@gmail.com,New,RY-LEAD-00362757,Qualified,2026-09-09T12:49:01.000+0000
00QjX0000005yDFUAY,https://business-data-62022.lightning.force.com/lightning/r/Lead/00QjX0000005yDFUAY/view,Johan,Abrahams,[Individual Applicant],johan.abrahams74@gmail.com,New,RY-LEAD-00364093,Converted,2026-09-09T12:39:43.000+0000
