RY_External_ID__c,Programme_Key,Title__c,Catalogue_Section__c,Delivery_Mode__c,Study_Pace__c,Duration_Value__c,Duration_Unit__c,Advertised_Fee_ZAR__c,Price_Status__c,Source_URL__c,Source_Refs__c,Observed_Date__c,Notes__c
RY-OFFER-016,RY-PROG-016,Design Thinking,Online education,Unconfirmed,Not stated,10,Weeks,13500,Published,https://www.redandyellow.co.za/online-ed,A05,2026-09-08,Online education is the page section; actual delivery mode requires confirmation.
RY-OFFER-017,RY-PROG-017,Performance Marketing,Online education,Unconfirmed,Not stated,11,Weeks,13500,Published,https://www.redandyellow.co.za/online-ed,A05,2026-09-08,Online education is the page section; actual delivery mode requires confirmation.
RY-OFFER-018,RY-PROG-018,Graphic Design Beginner,Online education,Unconfirmed,Not stated,16,Weeks,16500,Published,https://www.redandyellow.co.za/online-ed,A05,2026-09-08,Online education is the page section; actual delivery mode requires confirmation.
RY-OFFER-019,RY-PROG-019,User Experience Design,Online education,Unconfirmed,Not stated,10,Weeks,,Not shown,https://www.redandyellow.co.za/online-ed,A05,2026-09-08,Price not fully visible; not inferred from another listing. Online education is the page section; actual delivery mode requires confirmation.
RY-OFFER-020,RY-PROG-020,Business Analysis,Online education,Unconfirmed,Not stated,14,Weeks,14900,Published,https://www.redandyellow.co.za/online-ed,A05,2026-09-08,Online education is the page section; actual delivery mode requires confirmation.
RY-OFFER-021,RY-PROG-021,Data Analysis,Online education,Unconfirmed,Not stated,11,Weeks,13500,Published,https://www.redandyellow.co.za/online-ed,A05,2026-09-08,Online education is the page section; actual delivery mode requires confirmation.
RY-OFFER-022,RY-PROG-022,Storytelling for Impact & Influence,Online education,Unconfirmed,Not stated,6,Weeks,6500,Published,https://www.redandyellow.co.za/online-ed,A06,2026-09-08,Online education is the page section; actual delivery mode requires confirmation.
RY-OFFER-023,RY-PROG-023,Interior Decorating,Online education,Unconfirmed,Not stated,11,Weeks,16500,Published,https://www.redandyellow.co.za/online-ed,A06,2026-09-08,Online education is the page section; actual delivery mode requires confirmation.
RY-OFFER-024,RY-PROG-024,Creative Thinking,Online education,Unconfirmed,Not stated,7,Weeks,4900,Published,https://www.redandyellow.co.za/online-ed,A06,2026-09-08,Online education is the page section; actual delivery mode requires confirmation.
RY-OFFER-025,RY-PROG-025,Project Management,Online education,Unconfirmed,Not stated,11,Weeks,13500,Published,https://www.redandyellow.co.za/online-ed,A06,2026-09-08,Online education is the page section; actual delivery mode requires confirmation.
RY-OFFER-026,RY-PROG-026,Media Planning,Online education,Unconfirmed,Not stated,10,Weeks,13500,Published,https://www.redandyellow.co.za/online-ed,A06,2026-09-08,Online education is the page section; actual delivery mode requires confirmation.
RY-OFFER-027,RY-PROG-027,Mentorship,Online education,Unconfirmed,Not stated,6,Weeks,6500,Published,https://www.redandyellow.co.za/online-ed,A06,2026-09-08,Online education is the page section; actual delivery mode requires confirmation.
RY-OFFER-028,RY-PROG-028,Sales & Account Management,Online education,Unconfirmed,Not stated,7,Weeks,4900,Published,https://www.redandyellow.co.za/online-ed,A07,2026-09-08,Online education is the page section; actual delivery mode requires confirmation.
RY-OFFER-029,RY-PROG-029,Digital Content & Copywriting,Online education,Unconfirmed,Not stated,13,Weeks,14900,Published,https://www.redandyellow.co.za/online-ed,A07,2026-09-08,Online education is the page section; actual delivery mode requires confirmation.
RY-OFFER-030,RY-PROG-030,Copywriting,Online education,Unconfirmed,Not stated,11,Weeks,13500,Published,https://www.redandyellow.co.za/online-ed,A07,2026-09-08,Online education is the page section; actual delivery mode requires confirmation.
RY-OFFER-031,RY-PROG-031,Data Visualisation for Designers,Online education,Unconfirmed,Not stated,12,Weeks,16500,Published,https://www.redandyellow.co.za/online-ed,A07,2026-09-08,Online education is the page section; actual delivery mode requires confirmation.
RY-OFFER-032,RY-PROG-032,Graphic Design Intermediate with Adobe Photoshop,Online education,Unconfirmed,Not stated,15,Weeks,16500,Published,https://www.redandyellow.co.za/online-ed,A07,2026-09-08,Online education is the page section; actual delivery mode requires confirmation.
RY-OFFER-033,RY-PROG-033,Customer Experience,Online education,Unconfirmed,Not stated,11,Weeks,13500,Published,https://www.redandyellow.co.za/online-ed,A07,2026-09-08,Online education is the page section; actual delivery mode requires confirmation.
RY-OFFER-034,RY-PROG-034,Data Analysis for Marketers,Online education,Unconfirmed,Not stated,11,Weeks,13500,Published,https://www.redandyellow.co.za/online-ed,A08,2026-09-08,Online education is the page section; actual delivery mode requires confirmation.
RY-OFFER-035,RY-PROG-003,"Higher Occupational Certificate: Advertiser, Specialising in Digital Marketing",Online education,Unconfirmed,Not stated,1,Years,,Enquire,https://www.redandyellow.co.za/online-ed,A08,2026-09-08,Online education is the page section; actual delivery mode requires confirmation.
RY-OFFER-036,RY-PROG-035,Marketing Strategy,Online education,Unconfirmed,Not stated,6,Weeks,9000,Published,https://www.redandyellow.co.za/online-ed,A08,2026-09-08,Online education is the page section; actual delivery mode requires confirmation.
RY-OFFER-037,RY-PROG-036,Digital Marketing Professional,Online education,Unconfirmed,Not stated,16,Weeks,,Not shown,https://www.redandyellow.co.za/online-ed,A08,2026-09-08,Price not fully visible; not inferred from another listing. Online education is the page section; actual delivery mode requires confirmation.
RY-OFFER-038,RY-PROG-037,Social Media Marketing,Online education,Unconfirmed,Not stated,10,Weeks,,Not shown,https://www.redandyellow.co.za/online-ed,A08,2026-09-08,Price not fully visible; not inferred from another listing. Online education is the page section; actual delivery mode requires confirmation.
RY-OFFER-039,RY-PROG-038,Desktop Publishing with InDesign,Online education,Unconfirmed,Not stated,11,Weeks,,Not shown,https://www.redandyellow.co.za/online-ed,A08,2026-09-08,Price not fully visible; not inferred from another listing. Online education is the page section; actual delivery mode requires confirmation.
RY-OFFER-040,RY-PROG-039,Shopper Marketing,Online education,Unconfirmed,Not stated,11,Weeks,16500,Published,https://www.redandyellow.co.za/online-ed,A09,2026-09-08,Online education is the page section; actual delivery mode requires confirmation.
RY-OFFER-041,RY-PROG-040,Part-Time Postgraduate Diploma in Management,Online education,Unconfirmed,Part-time,2,Years,,Enquire,https://www.redandyellow.co.za/online-ed,A09,2026-09-08,Online education is the page section; actual delivery mode requires confirmation.
RY-OFFER-042,RY-PROG-041,Part-Time Higher Certificate in Business Management,Online education,Unconfirmed,Part-time,2,Years,,Enquire,https://www.redandyellow.co.za/online-ed,A09,2026-09-08,Online education is the page section; actual delivery mode requires confirmation.
RY-OFFER-043,RY-PROG-042,Part-Time Higher Certificate in Marketing and Branding,Online education,Unconfirmed,Part-time,2,Years,,Enquire,https://www.redandyellow.co.za/online-ed,A09,2026-09-08,Online education is the page section; actual delivery mode requires confirmation.
RY-OFFER-044,RY-PROG-012,Higher Certificate in Marketing and Branding,Online education,Unconfirmed,Not stated,1,Years,,Enquire,https://www.redandyellow.co.za/online-ed,A09,2026-09-08,Online education is the page section; actual delivery mode requires confirmation.
RY-OFFER-045,RY-PROG-009,Higher Certificate in Business Management,Online education,Unconfirmed,Not stated,1,Years,,Enquire,https://www.redandyellow.co.za/online-ed,A09,2026-09-08,Online education is the page section; actual delivery mode requires confirmation.
RY-OFFER-046,RY-PROG-043,Brand as Capital,Online education,Unconfirmed,Not stated,7,Weeks,27000,Published,https://www.redandyellow.co.za/online-ed,A10,2026-09-08,Online education is the page section; actual delivery mode requires confirmation. Executive education classification is proposed from course context; check official category.
RY-OFFER-047,RY-PROG-044,Rebel Leadership,Online education,Unconfirmed,Not stated,7,Weeks,27000,Published,https://www.redandyellow.co.za/online-ed,A10,2026-09-08,Online education is the page section; actual delivery mode requires confirmation. Executive education classification is proposed from course context; check official category.
RY-OFFER-048,RY-PROG-045,Management Development Programme: Agency Leadership,Online education,Unconfirmed,Not stated,6,Months,36500,Published,https://www.redandyellow.co.za/online-ed,A10,2026-09-08,Online education is the page section; actual delivery mode requires confirmation. Executive education classification is proposed from course context; check official category.
RY-OFFER-049,RY-PROG-046,Sports Sponsorship Marketing,Online education,Unconfirmed,Not stated,10,Weeks,,Not shown,https://www.redandyellow.co.za/online-ed,A10,2026-09-08,Price not fully visible; not inferred from another listing. Online education is the page section; actual delivery mode requires confirmation.
RY-OFFER-050,RY-PROG-047,Sustainable Marketing,Online education,Unconfirmed,Not stated,9,Weeks,,Not shown,https://www.redandyellow.co.za/online-ed,A10,2026-09-08,Price not fully visible; not inferred from another listing. Online education is the page section; actual delivery mode requires confirmation.
RY-OFFER-051,RY-PROG-048,Operational Finance,Online education,Unconfirmed,Not stated,11,Weeks,13500,Published,https://www.redandyellow.co.za/online-ed,A10,2026-09-08,Online education is the page section; actual delivery mode requires confirmation.
RY-OFFER-052,RY-PROG-049,Part-Time Postgraduate Diploma in Digital Marketing,Online education,Unconfirmed,Part-time,2,Years,,Enquire,https://www.redandyellow.co.za/online-ed,A11,2026-09-08,Online education is the page section; actual delivery mode requires confirmation.
RY-OFFER-053,RY-PROG-050,Part-Time Higher Certificate in Graphic Design,Online education,Unconfirmed,Part-time,1,Years,,Enquire,https://www.redandyellow.co.za/online-ed,A11,2026-09-08,Screenshot says 1 year; retained as shown despite other part-time certificates showing 2 years. Online education is the page section; actual delivery mode requires confirmation.
RY-OFFER-054,RY-PROG-051,Strategic Foresight for Leaders,Online education,Unconfirmed,Not stated,7,Weeks,27000,Published,https://www.redandyellow.co.za/online-ed,A11,2026-09-08,Online education is the page section; actual delivery mode requires confirmation. Executive education classification is proposed from course context; check official category.
RY-OFFER-055,RY-PROG-052,AI & Executive Judgement,Online education,Unconfirmed,Not stated,7,Weeks,27000,Published,https://www.redandyellow.co.za/online-ed,"A11,B01",2026-09-08,Online education is the page section; actual delivery mode requires confirmation. Executive education classification is proposed from course context; check official category.
RY-OFFER-056,RY-PROG-053,People Management,Online education,Unconfirmed,Not stated,11,Weeks,13500,Published,https://www.redandyellow.co.za/online-ed,"A11,B01",2026-09-08,Online education is the page section; actual delivery mode requires confirmation.
RY-OFFER-057,RY-PROG-054,Public Relations,Online education,Unconfirmed,Not stated,11,Weeks,16500,Published,https://www.redandyellow.co.za/online-ed,"A11,B01",2026-09-08,Online education is the page section; actual delivery mode requires confirmation.
RY-OFFER-058,RY-PROG-055,Account Leadership,Online education,Unconfirmed,Not stated,13,Weeks,13500,Published,https://www.redandyellow.co.za/online-ed,B01,2026-09-08,No visible start date; no intake fabricated. Online education is the page section; actual delivery mode requires confirmation.
RY-OFFER-059,RY-PROG-056,B2B Marketing,Online education,Unconfirmed,Not stated,11,Weeks,13500,Published,https://www.redandyellow.co.za/online-ed,B01,2026-09-08,No visible start date; no intake fabricated. Online education is the page section; actual delivery mode requires confirmation.
RY-OFFER-060,RY-PROG-057,AI for Copywriting,Online education,Unconfirmed,Not stated,2,Weeks,1900,Published,https://www.redandyellow.co.za/online-ed,B01,2026-09-08,No visible start date; no intake fabricated. Online education is the page section; actual delivery mode requires confirmation.
RY-OFFER-061,RY-PROG-058,AI for Design Thinking,Online education,Unconfirmed,Not stated,2,Weeks,1900,Published,https://www.redandyellow.co.za/online-ed,B02,2026-09-08,No visible start date; no intake fabricated. Online education is the page section; actual delivery mode requires confirmation.
RY-OFFER-062,RY-PROG-059,AI for Educators,Online education,Unconfirmed,Not stated,1,Weeks,1900,Published,https://www.redandyellow.co.za/online-ed,B02,2026-09-08,No visible start date; no intake fabricated. Online education is the page section; actual delivery mode requires confirmation.
RY-OFFER-063,RY-PROG-060,AI for HR,Online education,Unconfirmed,Not stated,2,Weeks,1900,Published,https://www.redandyellow.co.za/online-ed,B02,2026-09-08,No visible start date; no intake fabricated. Online education is the page section; actual delivery mode requires confirmation.
RY-OFFER-064,RY-PROG-061,AI for Management Insights,Online education,Unconfirmed,Not stated,2,Weeks,1900,Published,https://www.redandyellow.co.za/online-ed,B02,2026-09-08,No visible start date; no intake fabricated. Online education is the page section; actual delivery mode requires confirmation.
RY-OFFER-065,RY-PROG-062,AI for User Experience,Online education,Unconfirmed,Not stated,2,Weeks,1900,Published,https://www.redandyellow.co.za/online-ed,B02,2026-09-08,No visible start date; no intake fabricated. Online education is the page section; actual delivery mode requires confirmation.
RY-OFFER-066,RY-PROG-063,Prompt Engineering,Online education,Unconfirmed,Not stated,2,Weeks,1900,Published,https://www.redandyellow.co.za/online-ed,B02,2026-09-08,No visible start date; no intake fabricated. Online education is the page section; actual delivery mode requires confirmation.
RY-OFFER-067,RY-PROG-064,Responsible Advertising and the Advertising Regulatory Board,Online education,Unconfirmed,Not stated,3,Weeks,1900,Published,https://www.redandyellow.co.za/online-ed,B03,2026-09-08,No visible start date; no intake fabricated. Online education is the page section; actual delivery mode requires confirmation.
RY-OFFER-068,RY-PROG-065,Responsible Influencer Marketing,Online education,Unconfirmed,Not stated,1,Hours,250,Published,https://www.redandyellow.co.za/online-ed,B03,2026-09-08,No visible start date; no intake fabricated. Online education is the page section; actual delivery mode requires confirmation.
RY-OFFER-069,RY-PROG-066,AI for Graphic Designers,Online education,Unconfirmed,Not stated,2,Weeks,1900,Published,https://www.redandyellow.co.za/online-ed,B03,2026-09-08,No visible start date; no intake fabricated. Online education is the page section; actual delivery mode requires confirmation.
RY-OFFER-070,RY-PROG-067,Generative AI for Business,Online education,Unconfirmed,Not stated,11,Weeks,13500,Published,https://www.redandyellow.co.za/online-ed,B03,2026-09-08,No visible start date; no intake fabricated. Online education is the page section; actual delivery mode requires confirmation.
RY-OFFER-071,RY-PROG-068,Work Readiness,Online education,Unconfirmed,Not stated,8,Weeks,9900,Published,https://www.redandyellow.co.za/online-ed,B03,2026-09-08,No visible start date; no intake fabricated. Online education is the page section; actual delivery mode requires confirmation.
RY-OFFER-072,RY-PROG-069,Instructional Design,Online education,Unconfirmed,Not stated,12,Weeks,13500,Published,https://www.redandyellow.co.za/online-ed,B03,2026-09-08,No visible start date; no intake fabricated. Online education is the page section; actual delivery mode requires confirmation.
RY-OFFER-073,RY-PROG-070,Customer Service Course,Online education,Unconfirmed,Not stated,7,Weeks,4900,Published,https://www.redandyellow.co.za/online-ed,B04,2026-09-08,No visible start date; no intake fabricated. Online education is the page section; actual delivery mode requires confirmation.
RY-OFFER-074,RY-PROG-071,Digital Marketing,Online education,Unconfirmed,Not stated,10,Weeks,16500,Published,https://www.redandyellow.co.za/online-ed,B04,2026-09-08,No visible start date; no intake fabricated. Online education is the page section; actual delivery mode requires confirmation.
RY-OFFER-075,RY-PROG-072,Search Engine Optimisation,Online education,Unconfirmed,Not stated,10,Weeks,13500,Published,https://www.redandyellow.co.za/online-ed,B04,2026-09-08,No visible start date; no intake fabricated. Online education is the page section; actual delivery mode requires confirmation.
RY-OFFER-076,RY-PROG-073,Front-End Web Development,Online education,Unconfirmed,Not stated,11,Weeks,16500,Published,https://www.redandyellow.co.za/online-ed,B04,2026-09-08,No visible start date; no intake fabricated. Online education is the page section; actual delivery mode requires confirmation.
RY-OFFER-077,RY-PROG-074,Website Design,Online education,Unconfirmed,Not stated,11,Weeks,16500,Published,https://www.redandyellow.co.za/online-ed,B04,2026-09-08,No visible start date; no intake fabricated. Online education is the page section; actual delivery mode requires confirmation.
RY-OFFER-078,RY-PROG-075,MarTech & CRM Strategy,Online education,Unconfirmed,Not stated,11,Weeks,13500,Published,https://www.redandyellow.co.za/online-ed,B04,2026-09-08,No visible start date; no intake fabricated. Online education is the page section; actual delivery mode requires confirmation.
RY-OFFER-079,RY-PROG-076,ACA Graduate Programme for Agencies,Online education,Unconfirmed,Not stated,1,Years,,Enquire,https://www.redandyellow.co.za/online-ed,B05,2026-09-08,No visible start date; no intake fabricated. Online education is the page section; actual delivery mode requires confirmation.
RY-OFFER-080,RY-PROG-077,Part-Time Advanced Diploma in Digital Marketing,Online education,Unconfirmed,Part-time,2,Years,,Enquire,https://www.redandyellow.co.za/online-ed,B05,2026-09-08,No visible start date; no intake fabricated. Online education is the page section; actual delivery mode requires confirmation.
RY-OFFER-081,RY-PROG-078,Design Thinking Practitioner,Online education,Unconfirmed,Not stated,1,Years,,Enquire,https://www.redandyellow.co.za/online-ed,B05,2026-09-08,No visible start date; no intake fabricated. Online education is the page section; actual delivery mode requires confirmation.
RY-OFFER-082,RY-PROG-079,Project Manager,Online education,Unconfirmed,Not stated,2,Years,,Not shown,https://www.redandyellow.co.za/online-ed,B05,2026-09-08,No visible start date; no intake fabricated. Price not fully visible; not inferred from another listing. Online education is the page section; actual delivery mode requires confirmation.
RY-OFFER-083,RY-PROG-080,Part-Time Advanced Diploma in User Centered Design,Online education,Unconfirmed,Part-time,2,Years,,Not shown,https://www.redandyellow.co.za/online-ed,B05,2026-09-08,No visible start date; no intake fabricated. Price not fully visible; not inferred from another listing. Online education is the page section; actual delivery mode requires confirmation.
RY-OFFER-084,RY-PROG-006,Bachelor of Commerce in Marketing,Online education,Unconfirmed,Not stated,3,Years,,Not shown,https://www.redandyellow.co.za/online-ed,B05,2026-09-08,No visible start date; no intake fabricated. Price not fully visible; not inferred from another listing. Online education is the page section; actual delivery mode requires confirmation.
RY-OFFER-085,RY-PROG-081,Part-Time Advanced Diploma in Copywriting,Online education,Unconfirmed,Part-time,2,Years,,Enquire,https://www.redandyellow.co.za/online-ed,B06,2026-09-08,No visible start date; no intake fabricated. Online education is the page section; actual delivery mode requires confirmation.
RY-OFFER-086,RY-PROG-082,Part-Time Advanced Diploma in Marketing & Advertising Communications,Online education,Unconfirmed,Part-time,2,Years,,Enquire,https://www.redandyellow.co.za/online-ed,B06,2026-09-08,No visible start date; no intake fabricated. Online education is the page section; actual delivery mode requires confirmation.
RY-OFFER-087,RY-PROG-008,Postgraduate Diploma: Creative Leadership,Online education,Unconfirmed,Not stated,1,Years,,Enquire,https://www.redandyellow.co.za/online-ed,B06,2026-09-08,No visible start date; no intake fabricated. Online education is the page section; actual delivery mode requires confirmation.
RY-OFFER-088,RY-PROG-002,Bachelor of Arts Honours in Visual Communication Design,Online education,Unconfirmed,Not stated,,,,Not shown,https://www.redandyellow.co.za/online-ed,B06,2026-09-08,Duration not visible on this listing; not copied from another offering. No visible start date; no intake fabricated. Price not fully visible; not inferred from another listing. Online education is the page section; actual delivery mode requires confirmation.
RY-OFFER-089,RY-PROG-083,Bachelor of Business Administration: Marketing and Brand Management,Online education,Unconfirmed,Not stated,,,,Not shown,https://www.redandyellow.co.za/online-ed,B06,2026-09-08,Duration not visible on this listing; not copied from another offering. No visible start date; no intake fabricated. Price not fully visible; not inferred from another listing. Online education is the page section; actual delivery mode requires confirmation.
